,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
253,nagase.co.jp,4 part 161gb,10/14/2023 13:46,"03 JUL, 2023 12:54 UTC",18898,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/A8dJ5H4bZf8g9CbS64a2c7a431426
254,mundo-r.com,9 part - 59gb Lead operator in Galicia,10/14/2023 14:25,"03 JUL, 2023 12:51 UTC",26425,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/gVKicrUmfDh6JOXu64a2c6f9a613e
255,mundo-r.com,8 part - 57gb,10/14/2023 14:26,"03 JUL, 2023 12:48 UTC",18089,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/kldkbE6gOxdsmTqp64a2c64987fa2
256,mundo-r.com,7 part - 153gb,10/14/2023 14:26,"03 JUL, 2023 12:47 UTC",18080,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/FxZgqRyTjP52Vjed64a2c60a98fa3
257,mundo-r.com,6 part - 195gb,10/14/2023 14:26,"03 JUL, 2023 12:46 UTC",17713,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Jnw5Gv6uelp2tW6g64a2c5ca4f469
258,mundo-r.com,5part - 102gb,10/14/2023 14:26,"03 JUL, 2023 12:45 UTC",17585,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/NR0jySI50obiZNhy64a2c5905f63e
259,mundo-r.com,4part - 168gb,10/14/2023 14:26,"03 JUL, 2023 12:43 UTC",17514,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/rpo6KZFPd6SRLsIx64a2c53376622
260,mundo-r.com,3part - 158gb,10/14/2023 14:27,"03 JUL, 2023 12:42 UTC",17114,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/JTrWI2cBHprwf0iE64a2c4ef8c914
261,mundo-r.com,2part - 236gb,10/14/2023 14:27,"03 JUL, 2023 12:40 UTC",18977,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/6O937Xj1W4b0zICl64a2c45ed2a50
262,shakeys.com,https://www.sendbig.com/view-files/?Id=c567d426-b1c8-0d61-4860-6414388e15a5,10/14/2023 14:27,"29 JUN, 2023 14:08 UTC",15943,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zmdqmaUfOPlsrZM0649d92f644b1a
263,stimgroup.it,154gb,10/14/2023 14:27,"28 JUN, 2023 17:32 UTC",20550,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Y8gWcHJHAS5xTsH0649c7120075ca
264,aimtron.com,275gb,10/14/2023 14:28,"28 JUN, 2023 17:29 UTC",19714,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/6RS139yen1jR86In649c70aeaa689
265,ibafrance.fr,243gb,10/14/2023 14:28,"28 JUN, 2023 17:27 UTC",19529,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/UeHLyOZtRpim0akC649c7039f10e2
266,nagase.co.jp,3 part,10/14/2023 14:28,"24 JUN, 2023 06:05 UTC",22284,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/E2Cg4HHlVdJwiSaQ64968a11f1e07
267,nagase.co.jp,2 part,10/14/2023 14:29,"24 JUN, 2023 06:04 UTC",21555,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/uT6AXPgwXj5GTrwt649689c9a8ecc
268,nagase.co.jp,"1 part NAGASE & CO., LTD. is a chemicals trading firm, founded in Kyoto, Japan in 1832. The NAGASE Group began as a specialized sales agent securing exclusive contracts to sell industry-leading products from around the world in Japan. Over the yea...",10/14/2023 14:29,"24 JUN, 2023 06:02 UTC",21509,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/iv8Ve7JtlnCC34q76496897cc57de
269,prioritydispatch.net,"Priority Dispatch supports emergency dispatch centers around the world with the technology, tools, and training required to meet the needs of all types of dispatch environments. Databases that include complete information about requests, clients, the...",10/14/2023 13:51,"23 JUN, 2023 07:53 UTC",17956,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/cSuR459DbPfX0cQi64955215863dc
270,grantierra.com,"Gran Tierra Energy, founded in 2005 and headquartered in Calgary, Canada, is an oil and gas company focused on exploration and production in Colombia and Ecuador. More than 150 gigabytes of data, including passports of directors, employees, compan...",10/14/2023 13:27,"23 JUN, 2023 07:48 UTC",19482,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/5ugIiQsrP4MtT5ax649550bd8266c
271,cornu.ch,"Tauchen Sie ein ins Herz unseres Gourmet-Universums und entdecken Sie das Interaktive Museum, den Fabrikladen und sein Café",10/14/2023 13:27,"20 JUN, 2023 09:22 UTC",21980,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/llwGxJvXfLLLtoez6491723d48a80
272,bbrook.org,Bound Brook School District administrator@vsphere.local f0Rm#l@C$ bb-vcenter7.bbrook.edu,10/14/2023 14:23,"20 JUN, 2023 09:18 UTC",14926,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/cKETQvbOrvPmEq1N6491717a3097a
273,absolutecal.co.uk,Welcome to Absolute Calibration Originally founded in 1967 Absolute Calibration has evolved from an excellent pedigree and is now the leading independent calibration and repair laboratory in the UK. We are committed to providing the best calibration...,10/14/2023 13:01,"19 JUN, 2023 14:56 UTC",19948,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Ms5cTTikpl0H8VDG64906f43f06e3
274,tilg.at,High quality window systems Individual sun protection solutions Whole glass and conservatories Front doors and interior doors Professional assembly according to the latest state of the art,10/14/2023 13:28,"19 JUN, 2023 13:41 UTC",19586,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/OhWSPkEokV2hCUzH64905d8f327a3
275,aquidneckclub.com,"The Aquidneck Club combines first class amenities with a casual, family-friendly culture and personalized service. This luxurious private club features an 18-Hole Championship Golf Course, Waterfront Dining, Tennis Courts, Fitness Center, Wellness Sp...",10/14/2023 13:04,"19 JUN, 2023 04:06 UTC",18088,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ANPlHzBeQtzohWWM648fd6ef34b47
276,gizavc.com,57gb,10/14/2023 13:58,"15 JUN, 2023 10:37 UTC",24190,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/EAlP9rAQd4fTp5wN648aec5c3e0e4
277,airtac.com,190gb,10/14/2023 13:40,"15 JUN, 2023 10:36 UTC",21895,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/I5cxVxohnuEYPrx9648aec0764ade
278,euskaltel.com,29gb,10/14/2023 13:57,"15 JUN, 2023 10:34 UTC",25457,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Upg8sd8thV49qhAE648aebb445fd7
279,ste-usa.com,"HISTORY Over fifty years ago, STE set out to deliver a higher standard of engineering and manufacturing excellence in the liquid tank industry. From humble beginnings in a garage in South Central Wisconsin, to today in a factory based in Beloit, Wis...",10/14/2023 13:46,"15 JUN, 2023 08:03 UTC",43720,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/pSwRN3xDReSf6HyJ648ac8436a8f2
280,flybtr.com,"BTR's History In the summer of 1939, East Baton Rouge Parish began studying sites for a new airport that could accommodate longer runways to replace the downtown airport on Goodwood Boulevard. The site of the current Baton Rouge Metro Airport was ch...",10/14/2023 13:29,"15 JUN, 2023 07:53 UTC",21111,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/nYvAuNQQFidBH9R2648ac5e6432aa
281,granules.com,"Granules India is a company that does not know what cybersecurity and data protection are, during the pentest of its corporate network we found more than 10 critical vulnerabilities that allowed access to its private data. Moreover, this company re...",10/14/2023 13:05,"14 JUN, 2023 15:07 UTC",19230,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/DNkVyIOXD4UlGaCe6489d9ed5d97d
282,primeretailservices.com,"Prime Retail Services began providing retail fixture installations and décor in 2003 and gradually expanded its portfolio to include retail construction. In our years of experience, we’ve worked with all kinds of retailers–large, small, super stores,...",10/14/2023 13:29,"14 JUN, 2023 12:47 UTC",20585,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/lvGgZycCNfF5G8jZ6489b94358d3e
283,surfsidefoods.com,"Based in Port Norris, N.J., Surfside Foods is now the leader in harvesting and processing sustainable clams. Our exclusive focus on supplying Ocean Quahog (Arctica islandica) and Atlantic Surf (Spisula solida) clams and clam juice ingredients at indu...",10/14/2023 13:29,"14 JUN, 2023 04:55 UTC",19857,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/jm4UqphrdZfvNFI8648949ddc3419
284,gslelectric.com,"GSL performs on a diverse range of project types for both public and private clients—including commercial, industrial, institutional, manufacturing, site utility, and power line-substation projects. GSL Electric’s expertise in pre-construction, value...",10/14/2023 13:01,"13 JUN, 2023 11:24 UTC",20333,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/BtM7O82n8JZo9fh56488545a75e85
285,eriematerials.com,"Established in 1973, Erie Materials distributes building materials, such as roofing, siding, windows, doors, decking, manufactured stone veneer and gutters, for residential and commercial exteriors. It serves professional contractors and architects.",10/14/2023 13:57,"13 JUN, 2023 11:15 UTC",19756,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/3nY8DHyeNvpUmHf0648852353727d
286,ai-thermal.com,"Air International was founded in Australia in 1967 by Owen John, after he built an air conditioner for his own Jaguar and discovered the demand for it among other luxury car owners. Since then, we have grown all over the world. We run lean manufactu...",10/14/2023 13:48,"12 JUN, 2023 18:47 UTC",44101,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Dzk1ZB0DmjfbVrrE64876a9010451
287,pneusbeaucerons.com,"Les Pneus Beaucerons is your tire specialist for all sizes. Whether it's for a car, light truck, tractor, trailer, construction equipment or any other wheeled vehicle, we can meet your needs. Our state-of-the-art equipment, combined with nearly 60 ye...",10/14/2023 13:01,"12 JUN, 2023 18:44 UTC",18736,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Q5oBD1KsAR0POiFc64876a13d77fc
288,gruppomercurio.com,Leading vehicle transport company by over 50 years. HO based in Italy and present with direct subsidiaries or JV in all European Countries (EU),10/14/2023 14:21,"09 JUN, 2023 16:25 UTC",21887,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/3siz0ugloANNf4J8648354f76bd80
289,wsisd.net,White Settlement Independent School District,10/14/2023 13:29,"09 JUN, 2023 16:23 UTC",20014,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/NmyPpjxShs7yfwlM6483549972590
290,knipmeijerenblok.nl,"We can help you with a whole range of expertise such as various types of electrical installations, security solutions, various ICT applications and rapidly developing sustainability innovations. Of course we like to look with you from the start, but...",10/14/2023 13:00,"07 JUN, 2023 20:24 UTC",19779,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Ons3sxMYHPGOdW026480e9ef88c14
291,irda.com.my,Iskandar Regional Development Authority,10/14/2023 13:05,"07 JUN, 2023 17:26 UTC",20016,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/2XU6Un7HHi5QJeSS6480c049a473a
292,aek.mk,"Our mission is to create favourable conditions for effective and sustainable competition in the electronic communications market to serve the interests of users, the economy and the communications industry, through effective, transparent, appropriate...",10/14/2023 14:06,"07 JUN, 2023 16:52 UTC",49941,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qYbWjIOEHcRVfOat6480b84a9e1a9
293,manfil.com.br,"Manfil Ferro e Aço started its activities in 2000 with the name of Coferpa Ferro e Aço and with 21 years in the market, it currently offers its customers a structure with 10,000 m² of built area, a scale from 25 mts to 100 tons, rebar frame service w...",10/14/2023 14:21,"07 JUN, 2023 11:49 UTC",18003,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/RQ9GKT7PHdQHY2wd6480715e61841
294,mundocuervo.com,"Tequila is a Jalisco product that is part of our national identity. Synonymous with this is our prestigious and recognized Casa Tequilera Jose Cuervo, a company with more than 250 years of history and tradition, which has managed to cross borders, ex...",10/14/2023 14:27,"07 JUN, 2023 11:10 UTC",17864,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/u0bqyTKsC2ip5kyK6480683a1c4c2
295,conseildelentente.org,"Created on 29 May 1959, the Council of the Entente is the oldest of West African sub-regional institutions. At the initiative of Felix Houphouët Boigny (Côte d'Ivoire), four Heads of State signed the Constitutive Act of the Council of the Entente.",10/14/2023 13:00,"07 JUN, 2023 11:06 UTC",17763,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/1pFogXnf7bQjTntw6480673c5cec5
296,newhorizonsmedical.org,"The mission of New Horizons Medical is to provide patients with compassionate, comprehensive, and evidence-based treatments for substance use disorders and psychiatric diagnoses. Each and every patient is treated as an individual with distinctive req...",10/14/2023 13:06,"07 JUN, 2023 10:27 UTC",17613,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ARuD6lnLGMclQGB464805e16ba0f0
297,realcomp.com,"Realcomp II Ltd. is proud to be Michigan’s largest Multiple Listing Service delivering cutting-edge, real-time MLS data services, support, & training to the real estate industry. Our Mission Statement: Driven by integrity, Realcomp delivers great...",10/14/2023 13:55,"07 JUN, 2023 04:05 UTC",17329,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Y5xhg5D0S4QIMGHl6480049700c54
298,screenline.co.za,is a leading manufacturer of screen advertising since 1971. Specializes in outdoor and indoor screens as well as digital advertising solutions,10/14/2023 13:54,"06 JUN, 2023 20:33 UTC",18484,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XqPDJSENRckTLmRG647f9ac0dd605
299,pittsburg.k12.ca.us,"Pittsburg Unified School District is a public school district based in Contra Costa County, California, United States. usd250.k12.ks.us\sql_admin:PeekABoo",10/14/2023 13:54,"06 JUN, 2023 20:31 UTC",17681,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/etOnPHV85tYInto2647f9a2568287
300,pentechsolution.com.my,pentechsolution.com.my,10/14/2023 13:54,"06 JUN, 2023 20:26 UTC",17317,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/CFXVXqNuXWiq9gir647f990803ab3
301,progen.com.br,Mais de 5.000 projetos realizados para os maiores players do mercado nacional e internacional em 35 anos,10/14/2023 14:13,"06 JUN, 2023 20:19 UTC",14534,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/G1xB5hekv8WmlKVu647f975aa41a1
302,birdair.com,"Birdair is the leading specialty contractor for custom tensile fabric structures throughout the world. With more than 65 years of experience, Birdair has worked with owners, architects, engineers and contractors to design and build custom tensile...",10/14/2023 13:55,"06 JUN, 2023 20:16 UTC",16959,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/EWFduanw6f2TbgWh647f96a4ba87c
303,mariohernandez.com.co,"Mario Hernández is a Colombian fashion house dedicated to the manufacture of luxury leather accessories based in Bogotá D.C. It is named after its founder, Mario Hernandez",10/14/2023 14:25,"06 JUN, 2023 20:12 UTC",19795,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/xRVPZOQ8e3U24KMb647f95c79f3ca
304,payday.com.pa,"PayDay es una herramienta versátil, realizamos enlaces con programas contables, controles de marcación, ACH, CSS, DGI y mucho más. Contáctenos. SOSACIA\administrator Sp3C1al_K9ac!#pbS0-s4**!## \serverbackup S0S4!{L?aq4W3#g;jn0D3* \\192.1...",10/14/2023 13:00,"06 JUN, 2023 20:10 UTC",19597,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/i3AJAzEZfCBVEU1B647f952e40603
305,dalvikurbyggd.is,"Dalvíkurbyggð er sveitarfélag, staðsett við Eyjafjörð að vestanverðu. Sveitarfélagið skiptist upp í byggðakjarnana Dalvík, Árskógssand og Hauganes og búset.",10/14/2023 13:01,"06 JUN, 2023 20:08 UTC",19239,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/EMIH4zN3PvtBJnQO647f94a81a7b3
306,ourrelentlesschurch.com,"Relentless Church exists to share the news of Jesus Christ, disciple people, and build the whole person: mind, body & soul.",10/14/2023 14:23,"06 JUN, 2023 16:48 UTC",15938,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/s8UEqu2Jk0HOAdPZ647f65f70bf24
307,vcclawservices.com,"Vivien Chan & Co. is a full-service law practice with offices in Hong Kong (1985) and Beijing (1993). We are consistently recognized as a premier law firm for and in Greater China. With over 35 years of doing business in Greater China, our Hong Kong...",10/14/2023 13:30,"06 JUN, 2023 16:31 UTC",16134,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Z189RkBOpsiqkxOz647f620db3771
308,summerweine.at,Josef Summer's Erben Weinkellerei,10/14/2023 13:09,"06 JUN, 2023 16:26 UTC",15360,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/9eXz4EFoPKRWu3Im647f60ae7f7dd
309,baffetmateriaux.fr,Sale of building materials,10/14/2023 13:55,"06 JUN, 2023 16:15 UTC",14929,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/oICrh7dWGePJEcFS647f5e2b5d913
310,bintangindokaryagemilang.co.id,A manufacturing company engaged in the production of footwear/shoes with the Adidas brand.,10/14/2023 13:05,"06 JUN, 2023 13:17 UTC",16509,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/MgVetOnbrbIEBFNw647f3458558b0
311,saragroup.in,Sara Suole Pvt. Ltd. is India’s largest Builtup Sole manufacturer and one of its leading manufacturers of shoes and leather.,10/14/2023 12:59,"06 JUN, 2023 12:54 UTC",14858,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/C40cQS8Bk3iNtidE647f2ef82fd4e
312,wjtowell.com,"Towell Group is at the heart of Oman’s industry, business, and commerce. We also have our setup in UAE and India. We’re committed to a successful and prosperous future for our region and beyond.",10/14/2023 13:01,"06 JUN, 2023 12:06 UTC",14923,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/LKewVm6VsDNAobfZ647f239b66fab
313,jeloin.se,Jeloin Data AB is a company that operates in the Computer Software industry.,10/14/2023 14:02,"06 JUN, 2023 12:00 UTC",14247,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/omh8JOQXawa2iODP647f226d5332d
314,iprac.com,"RPI is source to the metro-Atlanta and Southeastern territories as a trusted provider of design software and solutions, industry-leading imaging technology, and world-renowned implementation and training services.",10/14/2023 13:00,"06 JUN, 2023 11:52 UTC",14197,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/iRYzgBbVF1LFi0qz647f209a2e187
315,stimgroup.it,"STIM builds high-tech plants for the industrialization of innovative products and processes, with particular reference to the food sector. STIM creates process plants and production lines that are unique on the market. STIM is also active in the fiel...",10/14/2023 13:54,"06 JUN, 2023 11:50 UTC",15166,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zJNhcORfnrlgHib7647f2017d520c
316,icae.net,This organization primarily operates in the Computer Related Consulting Services business industry within the Business Services sector.,10/14/2023 13:31,"06 JUN, 2023 11:46 UTC",13954,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Mtv1J3kJRoh0egJS647f1f246a585
317,villemandeure.fr,General government administration.,10/14/2023 12:59,"06 JUN, 2023 11:37 UTC",14574,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/0LGh3q0iDKteg7LY647f1d1d4bc33
318,borwafs.co.za,"Independent financial services company with a national footprint. Provider of quality selected financial products, services and consulting services. Work with individuals and groups to achieve excellent results for our fund administration clients. Co...",10/14/2023 14:15,"06 JUN, 2023 11:24 UTC",14308,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/2BIU8ggwIvMaeRGu647f19f40c52b
319,jacquart.fr,"Factories develop and manufacture: solid wooden bed bases with slats and flexible slats, box springs, box springs, bed bases with electric adjustable heads and feet.",10/14/2023 14:15,"06 JUN, 2023 11:19 UTC",14173,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/D70X6TZexUa8uo00647f18b1ab9e6
320,tmd.go.th,The Thai Meteorological Department (TMD) is the Thai governmental agency responsible for weather forecasting and monitoring. It is an agency of the Ministry of Digital Economy and Society.,10/14/2023 14:15,"06 JUN, 2023 11:07 UTC",14144,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/1EWVbnHA3KRg3QoV647f16153dde9
321,etships.com,"Specializing in expedite, rush-critical, and time-sensitive freight, our fleet of tractors, straight trucks, and sprinters are always on standby. Specializing in expedite, rush-critical, and time-sensitive freight, our fleet of tractors, straight...",10/14/2023 13:26,"05 JUN, 2023 12:45 UTC",13419,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/j8j2sgxSAqB2ZCyI647dd5f058a61
322,newarka.edu,"Newark Academy is a private day school for grades 6 through 12, offering both the IB program and AP courses",10/14/2023 14:29,"03 JUN, 2023 16:36 UTC",12521,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/PpWUJlPuHaZ3jV59647b6eb2b7768
323,fredfeet.com,"Fredericksburg Foot & Ankle Center are board-certified podiatrists in Fredericksburg, VA. Our doctors diagnose & treat all sports injuries & trauma injuries",10/14/2023 13:04,"03 JUN, 2023 16:23 UTC",12178,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/yibm7XTLu5UQeDnN647b6b74c04b6
324,uhsp.edu,UHSP is the nation's third leading private college of pharmacy for NIH grants. 96%. RECEIVE FINANCIAL AID,10/14/2023 13:48,"03 JUN, 2023 16:11 UTC",13303,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ImNGlE5joLquMPPM647b68de502e0
325,nosm.ca,"Northern Ontario School of Medicine University is a public medical university in the Canadian province of Ontario. It is mandated both to educate doctors and to contribute to care in Northern Ontario's urban, rural and remote communities, and has cam...",10/14/2023 13:01,"03 JUN, 2023 15:58 UTC",12060,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/sbxFGLi6TBNPDpKK647b65ac561e4
326,harwoodlloyd.com,"Harwood Lloyd, LLC is a full-service law firm that proudly serves international, national, regional, and individual clients, offering the personal attention and service of a boutique with the experience and quality of a large national firm.",10/14/2023 13:31,"02 JUN, 2023 17:46 UTC",15082,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/1XRZjJEMMxjoQBTJ647a2daf647a7
327,packageconcepts.com,"Package Concepts and Materials, Inc. opened for business in 1980 with the goal of bringing a new standard of innovation and excellence to the food packaging industry.",10/14/2023 13:04,"02 JUN, 2023 16:41 UTC",14516,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/7RGNdikiOJ9EiYxl647a1e2fecdff
328,fsd.se,"Sweden’s first private fire consulting company was founded by Dr. Yngve Anderberg in Lund in 1977. In the early years, FSD’s main focus was on research and structural fire protection. The first four employees were hired in 1985. Over time, the bus...",10/14/2023 14:02,"01 JUN, 2023 19:19 UTC",14634,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/WvjMGZbEgetWLKH76478f197cf4e0
329,voyageursdumonde.fr,"Headquarters: 55 Rue Sainte Anne, Paris, Ile-de-France, 75002, France Phone Number: +33 142861600 Website: www.voyageursdumonde.fr Revenue: $160M Stock Symbol: ALVDM Voyageurs du Monde SA operates as a travel agency in France and international...",10/14/2023 13:02,"28 MAY, 2023 08:05 UTC",18202,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/tBfLyy5Vc6ySxRBW64730dd7b3217
330,arnoldoilco.com,Arnold Oil Company has been serving customers in South Texas since 1939. What began as an oil warehouse in the early years eventually turned into the largest distributor of automotive parts and lubricants in South Texas. Arnold Oil Company successfu...,10/14/2023 14:29,"26 MAY, 2023 13:33 UTC",17493,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/TvtA8MXKVXtndJrc6470b7998cbd5
331,ultimateimageprinting.com,"Founded in 1980, Ultimate Image Printing is a full service commercial printing company located in Orange County, California.",10/14/2023 14:29,"26 MAY, 2023 05:18 UTC",17478,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qSdG5x8MICCTUgWX647043975728f
332,fams.net,"FAMS Recovery Solutions, headquartered in Woodstock, Georgia, and established in 1993, is a debt collection agency. Their services include first-party collections, third-party collections, and skip-tracing & USA",10/14/2023 13:58,"26 MAY, 2023 01:36 UTC",18370,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/o0c6aOSehB4K5NkN64700f8954e84
