,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
188,csem.qc.ca,1 part CSEM promotes and encourages the burial of cabled networks on the Montreal territory by associating with the City of Montreal and with numerous energy and telecommunications companies and providers.,"09 AUG, 2023 13:21 UTC",10389,Published,Schweiz/Suisse/Svizzera/Svizra,Forschung,,,,,,,,,,,,,,,,,
189,janus-engineering.com,"3part JANUS Engineering is the team of experts that loves a challenge. Where others see limits to what is possible, we create solutions for increased efficiency in the area of CAD / CAM / PLM. In over 30 years of actively using NX we have gathered a...","09 AUG, 2023 13:13 UTC",9746,Published,,,,,,,,,,,,,,,,,,,
190,janus-engineering.com,"2part JANUS Engineering is the team of experts that loves a challenge. Where others see limits to what is possible, we create solutions for increased efficiency in the area of CAD / CAM / PLM. In over 30 years of actively using NX we have gathered a...","09 AUG, 2023 13:12 UTC",9571,Published,United States,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
191,ricks-motorcycles.com,"Since about a quarter of a century Rick’s Motorcycles is engaged with making custom parts and customizing individual stock motorcycles. This makes the company not only one of the oldest Harley-Davidson customizers in Europe, but also is a credential...","09 AUG, 2023 13:11 UTC",9317,Published,Deutschland,Consumer Services,,,,,,,,,,,,,,,,,
192,janus-engineering.com,"1part JANUS Engineering is the team of experts that loves a challenge. Where others see limits to what is possible, we create solutions for increased efficiency in the area of CAD / CAM / PLM. In over 30 years of actively using NX we have gathered a...","09 AUG, 2023 13:10 UTC",9607,Published,,,,,,,,,,,,,,,,,,,
193,octoso.de,Octoso GmbH is a professional Microsoft Dynamics partner and offers ERP and software solutions based on Microsoft Dynamics 365 Business Central.,"09 AUG, 2023 13:07 UTC",8991,Published,,,,,,,,,,,,,,,,,,,
194,cbcstjohns.co.za,"CBC St John’s is an independent Catholic School for children aged 2 to Matric, in the Edmund Rice Tradition. As a Christian Brothers College, we are proud of our rich tradition and combine this with a contemporary academic vision of excellence, withi...","09 AUG, 2023 12:48 UTC",9082,Published,,Education Administration Programs,,,,,,,,,,,,,,,,,
195,fashions-uk.com,100% of our business is dedicated to producing licensed and branded products. We work hard to elevate our brands at retail through carefully designed product that resonates with today’s consumer.,"09 AUG, 2023 12:41 UTC",9114,Published,United Kingdom,Retail,,,,,,,,,,,,,,,,,
196,el-cerrito.org,"El Cerrito is a city in Contra Costa County, California, United States, and forms part of the San Francisco Bay Area.","09 AUG, 2023 12:30 UTC",9074,Published,,,,,,,,,,,,,,,,,,,
197,etisaleg.com,"Etisal is a trading company that is specialized in consumer electronics and distribution sector with a long history in the market and a capital of over EGP 300 Million. With the help of our dream team, a league of extraordinary calibers, we are able...","09 AUG, 2023 11:13 UTC",8875,Published,Egypt مصر,Computers and Electronics Manufacturing,,,,,,,,,,,,,,,,,
198,independenceia.org,Independence Public Library,"09 AUG, 2023 11:08 UTC",8494,Published,United States,Primary and Secondary Education,,,,,,,,,,,,,,,,,
199,wuppermann.com,"Produces hot-dip galvanized tubes and profiles with particularly high corrosion protection, especially for applications in the photovoltaic, construction and automotive industries.","09 AUG, 2023 10:54 UTC",8564,Published,Deutschland,Mining,,,,,,,,,,,,,,,,,
200,unitycouncil.org,The Unity Council is a non-profit Social Equity Development Corporation with over 50 years of history in the Fruitvale neighborhood of Oakland. Our mission is to promote social equity and improve quality of life by building vibrant communities where...,"09 AUG, 2023 08:13 UTC",7810,Published,United States,Non-profit Organizations,,,,,,,,,,,,,,,,,
201,scottevest.com,"SCOTTeVEST is a clothing company based in Ketchum, Idaho which specializes in garments with conduit systems and specialized pockets and compartments for holding mobile phones, tablet computers and other portable electronic devices.","04 AUG, 2023 20:04 UTC",10380,Published,,,,,,,,,,,,,,,,,,,
202,iqcontrols.com,"We specialize in designing, building and installing electrical control systems, PLC programming and HMI programming.","04 AUG, 2023 19:53 UTC",10717,Published,United States,Construction,,,,,,,,,,,,,,,,,
203,armortex.com,"Armortex® has been manufacturing Bullet, Blast and Forced Entry Resistant products for more than thirty years. Our product line includes Armortex® brand fiberglass composite panels, glass, and containment glazing, fixed windows and transaction window...","04 AUG, 2023 19:49 UTC",10914,Published,United States,Wholesale Building Materials,,,,,,,,,,,,,,,,,
204,tetco.com,"TETCO, Inc. is a San Antonio-based company, owned and operated by the Tom E. Turner family for more than 60 years. Food service franchises, petrochemical distribution, and heavy truck and trailer repairs are the company’s primary revenue sources, wit...","04 AUG, 2023 19:42 UTC",9856,Published,,,,,,,,,,,,,,,,,,,
205,pointpleasant.k12.nj.us,Point Pleasant Borough School District,"03 AUG, 2023 15:21 UTC",11394,Published,United States,,,,,,,,,,,,,,,,,,
206,floodlaw.com,"https://mega.nz/folder/3zRACQSa#Ts3KCRfbEEoPBrx5vVWrkQ 308gb In 2002 we started a law firm, a unique assembly of former prosecutors dedicated to leveraging our knowledge and experience against the forces inherent in the criminal justice system. T...","03 AUG, 2023 08:47 UTC",10633,Published,United States,Law Practice,,,,,,,,,,,,,,,,,
207,admsc.com,"Al Doha Maintenance & Services Centre (ADMSC) was founded in the year 1997 by Mr. John. B. Carnelio with a vision of providing Quality Services to the fast-emerging Qatari Market. Since its establishment, ADMSC has developed a dynamic business app...","03 AUG, 2023 08:40 UTC",12050,Published,,خدمات المرافق,,,,,,,,,,,,,,,,,
208,fec-corp.com,"Federal Electric Corp., Ltd., FEC, established in 1978, is an exclusive sole manufacturer of electric home appliances under the well - known SHARP brand in Thailand.","02 AUG, 2023 22:33 UTC",10887,Published,United States,Aviation and Aerospace Component Manufacturing,,,,,,,,,,,,,,,,,
209,constructioncrd.com,"!! some confidential info from servers this company. !! Pour les experts en construction résidentielle dans la grande région de Québec, comptez sur Construction CRD","02 AUG, 2023 22:22 UTC",10950,Published,Canada,Construction,,,,,,,,,,,,,,,,,
210,unicorpusa.com,,"02 AUG, 2023 06:13 UTC",10406,Published,,,,,,,,,,,,,,,,,,,
211,gerb.bg,"GERB is headed by former Prime Minister of Bulgaria Boyko Borisov, the former mayor of Sofia, former member of the National Movement Simeon II and former personal guard of Todor Zhivkov in the 1990s. The establishment of the party followed the creati...","01 AUG, 2023 09:59 UTC",12426,Published,Deutschland,Hoch- und Tiefbau,,,,,,,,,,,,,,,,,
212,obrelli.it,35gb -personal data of clients -confidential info Gioielleria Obrelli is a company that operates in the Luxury Goods & Jewelry industry. It employs 6-10 people and has $1M-$5M of revenue,"31 JUL, 2023 18:38 UTC",11389,Published,Italia,Construction,,,,,,,,,,,,,,,,,
213,nbcc.org,"-personal data -nda 220GB National Board for Certified Counselors is dedicated to research and commentary on empirical, theoretical and innovative topics in the field of professional counseling and related areas","31 JUL, 2023 18:34 UTC",11273,Published,,,,,,,,,,,,,,,,,,,
214,paretophone.com,"150 gb personal data, nda. IVE Tele-fundraising is an industry leader in creating innovative, sustainable, data-led campaigns for charity telefundraising. Every year some of their best-known and most-loved charities engage them to provide telephone...","31 JUL, 2023 18:23 UTC",12463,Published,Australia,Non-profit Organizations,,,,,,,,,,,,,,,,,
215,llombart.de,"Llombart Import-Export, your complete fruit and vegetable import service, with integrated logistics, marketing and advice","31 JUL, 2023 09:43 UTC",13114,Published,España,Market Research,,,,,,,,,,,,,,,,,
216,westoaksschool.co.uk,"West Oaks School is a 2-19 aged SEN School with the current capacity to educate 440 pupils on our three sites, the Boston Spa Learning site, Woodhouse Learning site and Headingley Learning site.","31 JUL, 2023 09:40 UTC",13847,Published,,Education Administration Programs,,,,,,,,,,,,,,,,,
217,haynesintl.com,"haynesintl.com Haynes International, Inc., headquartered in Kokomo, Indiana, is one of the largest producers of corrosion-resistant and high-temperature alloys. In addition to Kokomo, Haynes has manufacturing facilities in Arcadia, Louisiana, and Mo...","26 JUL, 2023 10:42 UTC",8611,Published,United States,Primary Metal Manufacturing,,,,,,,,,,,,,,,,,
218,twv-staderland.de,Trinkwasserverband,"26 JUL, 2023 06:19 UTC",12096,Published,Deutschland,Law Practice,,,,,,,,,,,,,,,,,
219,ebpsupply.com,"Imperial Dade is the leading independently owned and operated distributor of food packaging supplies, commercial cleaning supplies","24 JUL, 2023 07:59 UTC",15738,Published,United States,Business Supplies & Equipment,,,,,,,,,,,,,,,,,
220,panoramaeyecare.com,798gb: https://mega.nz/folder/1GMynLJT#nTmOi4_kYn0FjheOvZF6oA www.eyecenternoco.com www.denvereyesurgeons.com www.cheyenneeyeclinic.com www.2020visioncenter.com,"21 JUL, 2023 14:02 UTC",16215,Published,United States,Hospitals and Health Care,,,,,,,,,,,,,,,,,
221,cityserve-mech.co.uk,"CITYSERVE MECHANICAL LIMITED is a business supplies and equipment company based out of THE OAKLEY KIDDERMINSTER ROAD, DROITWICH, United Kingdom.","20 JUL, 2023 09:54 UTC",17534,Published,United Kingdom,Construction,,,,,,,,,,,,,,,,,
222,suninsurance.com.fj,"SUN Insurance (SUN) Company Limited is the only Fiji owned and operated General Insurance Company. The Company is head quartered at the Kaunikuila House, in Flagstaff, Suva, with its network of Agents and Branches spread across Fiji Islands.","18 JUL, 2023 12:37 UTC",18258,Published,New Zealand / Aotearoa,Insurance Agencies and Brokerages,,,,,,,,,,,,,,,,,
223,johnreilly.co.uk,"Specialising in complex major projects, John Reilly have provided a wide range of services to a range of clients in both the public and private sectors but predominantly work for developers now. Generally contracts will include the construction of r...","17 JUL, 2023 15:35 UTC",15560,Published,,,,,,,,,,,,,,,,,,,
224,hopetech.com,"Hope Technology is one of the world leaders in engineering bicycle components. Since 1989, owners Ian Weatherill and Simon Sharp have been pushing the industry forward through designing, testing and manufacturing virtually all products in-house at th...","17 JUL, 2023 15:31 UTC",15240,Published,,,,,,,,,,,,,,,,,,,
225,equmedia.es,EQUMEDIA es la Agencia de Medios independiente líder en España. Combina el saber hacer de la agencia independiente pionera en el mercado español con la,"15 JUL, 2023 15:43 UTC",17874,Published,United States,Advertising Services,,,,,,,,,,,,,,,,,
226,magnumphotos.com,"Magnum Photos has visually documented most of the world's major events and personalities since the 1930s covering society, politics, events and conflict.","15 JUL, 2023 14:39 UTC",17485,Published,United States,Photography,,,,,,,,,,,,,,,,,
227,co.langlade.wi.us,"Langlade County is a county located in the U.S. state of Wisconsin. As of the 2020 census, the population was 19,491. Its county seat is Antigo","15 JUL, 2023 14:39 UTC",9014,Published,United States,Retail Apparel and Fashion,,,,,,,,,,,,,,,,,
228,energym.co.il,Sport energym.,"15 JUL, 2023 14:39 UTC",17506,Published,United Kingdom,Wellness and Fitness Services,,,,,,,,,,,,,,,,,
229,province.namur.be,"Namur is a province of Wallonia, one of the three regions of Belgium. It borders on the Walloon provinces of Hainaut, Walloon Brabant, Liège and Luxembourg in Belgium, and the French department of Ardennes. Its capital and largest city is the city of...","15 JUL, 2023 14:39 UTC",17196,Published,United States,Financial Services,,,,,,,,,,,,,,,,,
230,hgc.com.hk,change the negotiator,"15 JUL, 2023 14:39 UTC",18170,Published,中国,Telecommunications,,,,,,,,,,,,,,,,,
231,greatlakesmbpm.com,Great Lakes offers compliant medical billing service with practice management system.,"15 JUL, 2023 13:53 UTC",16679,Published,United States,Medical Practices,,,,,,,,,,,,,,,,,
232,konrad-mr.de,"Die KONRAD Mess– und Regeltechnik GmbH ist ein mittelständisches Unternehmen mit Sitz in Gundremmingen, zwei weiteren Standorten in Deutschland und beschäftigt mehr als 100 Mitarbeiter. Seit 35 Jahren bietet das Unternehmen als herstellerunabhängiger...","15 JUL, 2023 13:48 UTC",16637,Published,,,,,,,,,,,,,,,,,,,
233,ai-thermal.com,256gb https://mega.nz/folder/JuNCSToQ#QmGOUXpF00SBonu7og6NSA,"13 JUL, 2023 11:01 UTC",15293,Published,,,,,,,,,,,,,,,,,,,
234,affinityhealthservices.ne,,Not found,14998,Published,United States,Business Consulting and Services,,,,,,,,,,,,,,,,,
235,selmi.com.br,"- Established in 1966; - Manufacturer of flour based products, such as dry pasta, traditional pasta, cookies, crackers, cakes and baking mixes; - Over 1,000 employees; - Two production sites; - Thirteen distribution centers across the country; -...","11 JUL, 2023 19:10 UTC",19806,Published,,Business Supplies & Equipment,,,,,,,,,,,,,,,,,
236,sommer.eu,,"11 JUL, 2023 12:46 UTC",16775,Published,Brasil,Design Services,,,,,,,,,,,,,,,,,
237,panoramaeyecare.com,Downloaded 798gb of data from all these companies: eyecenternoco.com ; denvereyesurgeons.com ; cheyenneeyeclinic.com ; 2020visioncenter.com. Panorama Eyecare is a physician-led management services organization designed to support its partner...,"11 JUL, 2023 09:18 UTC",15629,Published,,,,,,,,,,,,,,,,,,,
238,roys.co.uk,"ROYS(WROXHAM),LIMITED financial statements ROYS(WROXHAM),LIMITED's most recent financial report filed on January 29, 2022 shows the company has a turnover of £54 million.","09 JUL, 2023 16:52 UTC",18051,Published,,,,,,,,,,,,,,,,,,,
239,buckprop.com,51 GB Part1: https://www.sendbig.com/view-files/?Id=3eabf11c-8e60-59f2-73cf-8ca67fcee4ce Part2: https://www.sendbig.com/view-files/?Id=2b239e0c-7359-9c4f-b5cc-aa4440041415,"09 JUL, 2023 05:00 UTC",15718,Published,United States,Real Estate,,,,,,,,,,,,,,,,,
240,siegfried.com.mx,Siegfried Rhein produce medicamentos genéricos para tratar distintas afecciones de salud,"06 JUL, 2023 15:23 UTC",18788,Published,Schweiz/Suisse/Svizzera/Svizra,Pharmaceutical Manufacturing,,,,,,,,,,,,,,,,,
241,gacegypt.net,"GAC Egypt provides a range of shipping, logistics and marine services in Egypt, including Suez Canal Transits and Aviation Services. !!!Change the negotiator He asked for a private chat and is not negotiating. Over 452gb of data.","06 JUL, 2023 15:19 UTC",19035,Published,,Maritime,,,,,,,,,,,,,,,,,
242,cls-group.com,"CLS's innovative settlement, processing and data solutions reduce risk and deliver efficiency. clsgroup.org.uk/Administrator:thanks%455","06 JUL, 2023 15:14 UTC",18609,Published,,,,,,,,,,,,,,,,,,,
243,chasc.org,"The Columbia Housing Authority provides affordable housing and workforce housing for low to moderate income families and veterans in Columbia, SC chasc.org\administrator:CH$Admin1","06 JUL, 2023 15:08 UTC",18217,Published,United States,Financial Services,,,,,,,,,,,,,,,,,
244,betalandservices.com,"The BETA Way is the summation of decades of combined experience from landmen, attorneys, and developers. More than just a detailed methodology for providing the highest quality land services, it is the philosophical — and physical — manifestation of...","06 JUL, 2023 15:05 UTC",18467,Published,United States,Oil and Gas,,,,,,,,,,,,,,,,,
245,recamlaser.com,Recam Laser we are a laser cutting specialized company for the realization of products for industrial metalworking and a wide range of metallurgical processes and engineering. We have the more suitable tools; state of the art machinery and the mos...,"05 JUL, 2023 09:43 UTC",20277,Published,España,Minería,,,,,,,,,,,,,,,,,
246,eurosupport.com,"Started as a family business in 1987, Euro Support has been the partner of choice to independent technology developers and major catalyst producers… working under the motto: no batch is too small, no challenge too great. During those 30 years, we hav...","05 JUL, 2023 09:39 UTC",20006,Published,Italia,Financial Services,,,,,,,,,,,,,,,,,
247,mitr.com,"Since MITR was established, the company has enjoyed steady growth and development across a wide range of disciplines. The following are highlights of the company's milestones and achievements: MITR, a Thai-owned engineering consulting services co...","05 JUL, 2023 08:54 UTC",18232,Published,ประเทศไทย,Food and Beverage Manufacturing,,,,,,,,,,,,,,,,,
248,guestgroup.com.au,"Hello we are pleased to introduce you GUEST GROUP PTY LTD doing GUESTS RETIREMENT LIVING from Australia. Guest Group is one of Australia’s largest, independent interior furnishings and property styling companies. For almost 100 years, Guest Group...","03 JUL, 2023 14:55 UTC",16274,Published,Australia,Furniture and Home Furnishings Manufacturing,,,,,,,,,,,,,,,,,
249,oneexchangecorp.com,"Based in Calgary, Alberta, One Exchange Corp. (OX) is a leader in voice and electronic brokering for the North American Natural Gas and Crude Oil markets. Equipped with more than 100 years of combined experience in the energy sector.","03 JUL, 2023 13:33 UTC",16780,Published,Canada,Oil and Gas,,,,,,,,,,,,,,,,,
250,snjb.net,"The Jordan Bridge, officially the South Norfolk Jordan Bridge, is a fixed toll bridge that carries State Route 337 across the southern branch of the Elizabeth River between the city of Portsmouth and the city of Chesapeake on South Hampton Roads, Vir...","03 JUL, 2023 13:32 UTC",16582,Published,,,,,,,,,,,,,,,,,,,
251,tedpella.com,"We manufacture and sell instruments and supplies to serve laboratories dedicated to a variety of types of microscopy: Transmission and Scanning Electron Microscopy, Electron Microprobe Analysis, Atomic Force Microscopy, Confocal Laser Microscopy and...","03 JUL, 2023 13:27 UTC",4928,Published,,,,,,,,,,,,,,,,,,,
252,bancodevenezuela.com,"We are an institution with a long history in the national financial system. Founded at the end of the 19th century, we had the responsibility of issuing coins until 1939 when the Central Bank of Venezuela was created. We are leaders in operating poi...","03 JUL, 2023 13:07 UTC",22344,Published,,Banca,,,,,,,,,,,,,,,,,
253,nagase.co.jp,4 part 161gb,"03 JUL, 2023 12:54 UTC",18898,Published,日本,Chemical Manufacturing,,,,,,,,,,,,,,,,,
254,mundo-r.com,9 part - 59gb Lead operator in Galicia,"03 JUL, 2023 12:51 UTC",26425,Published,,,,,,,,,,,,,,,,,,,
255,mundo-r.com,8 part - 57gb,"03 JUL, 2023 12:48 UTC",18089,Published,Brasil,Social Networking Platforms,,,,,,,,,,,,,,,,,
256,mundo-r.com,7 part - 153gb,"03 JUL, 2023 12:47 UTC",18080,Published,,,,,,,,,,,,,,,,,,,
257,mundo-r.com,6 part - 195gb,"03 JUL, 2023 12:46 UTC",17713,Published,Brasil,Social Networking Platforms,,,,,,,,,,,,,,,,,
258,mundo-r.com,5part - 102gb,"03 JUL, 2023 12:45 UTC",17585,Published,,,,,,,,,,,,,,,,,,,
259,mundo-r.com,4part - 168gb,"03 JUL, 2023 12:43 UTC",17514,Published,,,,,,,,,,,,,,,,,,,
260,mundo-r.com,3part - 158gb,"03 JUL, 2023 12:42 UTC",17114,Published,Brasil,Social Networking Platforms,,,,,,,,,,,,,,,,,
261,mundo-r.com,2part - 236gb,"03 JUL, 2023 12:40 UTC",18977,Published,,,,,,,,,,,,,,,,,,,
262,shakeys.com,https://www.sendbig.com/view-files/?Id=c567d426-b1c8-0d61-4860-6414388e15a5,"29 JUN, 2023 14:08 UTC",15943,Published,Philippines,Restaurants,,,,,,,,,,,,,,,,,
263,stimgroup.it,154gb,"28 JUN, 2023 17:32 UTC",20550,Published,Italia,Fabbricazione di macchinari industriali,,,,,,,,,,,,,,,,,
264,aimtron.com,275gb,"28 JUN, 2023 17:29 UTC",19714,Published,United States,"Appliances, Electrical, and Electronics Manufacturing",,,,,,,,,,,,,,,,,
265,ibafrance.fr,243gb,"28 JUN, 2023 17:27 UTC",19529,Published,,,,,,,,,,,,,,,,,,,
266,nagase.co.jp,3 part,"24 JUN, 2023 06:05 UTC",22284,Published,日本,Chemical Manufacturing,,,,,,,,,,,,,,,,,
267,nagase.co.jp,2 part,"24 JUN, 2023 06:04 UTC",21555,Published,日本,Chemical Manufacturing,,,,,,,,,,,,,,,,,
268,nagase.co.jp,"1 part NAGASE & CO., LTD. is a chemicals trading firm, founded in Kyoto, Japan in 1832. The NAGASE Group began as a specialized sales agent securing exclusive contracts to sell industry-leading products from around the world in Japan. Over the yea...","24 JUN, 2023 06:02 UTC",21509,Published,日本,Chemical Manufacturing,,,,,,,,,,,,,,,,,
269,prioritydispatch.net,"Priority Dispatch supports emergency dispatch centers around the world with the technology, tools, and training required to meet the needs of all types of dispatch environments. Databases that include complete information about requests, clients, the...","23 JUN, 2023 07:53 UTC",17956,Published,United States,Public Safety,,,,,,,,,,,,,,,,,
270,grantierra.com,"Gran Tierra Energy, founded in 2005 and headquartered in Calgary, Canada, is an oil and gas company focused on exploration and production in Colombia and Ecuador. More than 150 gigabytes of data, including passports of directors, employees, compan...","23 JUN, 2023 07:48 UTC",19482,Published,,,,,,,,,,,,,,,,,,,
271,cornu.ch,"Tauchen Sie ein ins Herz unseres Gourmet-Universums und entdecken Sie das Interaktive Museum, den Fabrikladen und sein Café","20 JUN, 2023 09:22 UTC",21980,Published,,,,,,,,,,,,,,,,,,,
272,bbrook.org,Bound Brook School District administrator@vsphere.local f0Rm#l@C$ bb-vcenter7.bbrook.edu,"20 JUN, 2023 09:18 UTC",14926,Published,,,,,,,,,,,,,,,,,,,
273,absolutecal.co.uk,Welcome to Absolute Calibration Originally founded in 1967 Absolute Calibration has evolved from an excellent pedigree and is now the leading independent calibration and repair laboratory in the UK. We are committed to providing the best calibration...,"19 JUN, 2023 14:56 UTC",19948,Published,United Kingdom,"Appliances, Electrical, and Electronics Manufacturing",,,,,,,,,,,,,,,,,
274,tilg.at,High quality window systems Individual sun protection solutions Whole glass and conservatories Front doors and interior doors Professional assembly according to the latest state of the art,"19 JUN, 2023 13:41 UTC",19586,Published,United States,Human Resources Services,,,,,,,,,,,,,,,,,
275,aquidneckclub.com,"The Aquidneck Club combines first class amenities with a casual, family-friendly culture and personalized service. This luxurious private club features an 18-Hole Championship Golf Course, Waterfront Dining, Tennis Courts, Fitness Center, Wellness Sp...","19 JUN, 2023 04:06 UTC",18088,Published,United States,Hospitality,,,,,,,,,,,,,,,,,
276,gizavc.com,57gb,"15 JUN, 2023 10:37 UTC",24190,Published,ישראל,Venture Capital and Private Equity Principals,,,,,,,,,,,,,,,,,
277,airtac.com,190gb,"15 JUN, 2023 10:36 UTC",21895,Published,中国,Industrial Machinery Manufacturing,,,,,,,,,,,,,,,,,
278,euskaltel.com,29gb,"15 JUN, 2023 10:34 UTC",25457,Published,,,,,,,,,,,,,,,,,,,
279,ste-usa.com,"HISTORY Over fifty years ago, STE set out to deliver a higher standard of engineering and manufacturing excellence in the liquid tank industry. From humble beginnings in a garage in South Central Wisconsin, to today in a factory based in Beloit, Wis...","15 JUN, 2023 08:03 UTC",43720,Published,United States,Industrial Machinery Manufacturing,,,,,,,,,,,,,,,,,
280,flybtr.com,"BTR's History In the summer of 1939, East Baton Rouge Parish began studying sites for a new airport that could accommodate longer runways to replace the downtown airport on Goodwood Boulevard. The site of the current Baton Rouge Metro Airport was ch...","15 JUN, 2023 07:53 UTC",21111,Published,United States,Airlines and Aviation,,,,,,,,,,,,,,,,,
281,granules.com,"Granules India is a company that does not know what cybersecurity and data protection are, during the pentest of its corporate network we found more than 10 critical vulnerabilities that allowed access to its private data. Moreover, this company re...","14 JUN, 2023 15:07 UTC",19230,Published,India,Pharmaceutical Manufacturing,,,,,,,,,,,,,,,,,
282,primeretailservices.com,"Prime Retail Services began providing retail fixture installations and décor in 2003 and gradually expanded its portfolio to include retail construction. In our years of experience, we’ve worked with all kinds of retailers–large, small, super stores,...","14 JUN, 2023 12:47 UTC",20585,Published,United States,Construction,,,,,,,,,,,,,,,,,
283,surfsidefoods.com,"Based in Port Norris, N.J., Surfside Foods is now the leader in harvesting and processing sustainable clams. Our exclusive focus on supplying Ocean Quahog (Arctica islandica) and Atlantic Surf (Spisula solida) clams and clam juice ingredients at indu...","14 JUN, 2023 04:55 UTC",19857,Published,United States,Food and Beverage Manufacturing,,,,,,,,,,,,,,,,,
284,gslelectric.com,"GSL performs on a diverse range of project types for both public and private clients—including commercial, industrial, institutional, manufacturing, site utility, and power line-substation projects. GSL Electric’s expertise in pre-construction, value...","13 JUN, 2023 11:24 UTC",20333,Published,United States,Construction,,,,,,,,,,,,,,,,,
285,eriematerials.com,"Established in 1973, Erie Materials distributes building materials, such as roofing, siding, windows, doors, decking, manufactured stone veneer and gutters, for residential and commercial exteriors. It serves professional contractors and architects.","13 JUN, 2023 11:15 UTC",19756,Published,United States,Building Materials,,,,,,,,,,,,,,,,,
286,ai-thermal.com,"Air International was founded in Australia in 1967 by Owen John, after he built an air conditioner for his own Jaguar and discovered the demand for it among other luxury car owners. Since then, we have grown all over the world. We run lean manufactu...","12 JUN, 2023 18:47 UTC",44101,Published,,Motor Vehicle Manufacturing,,,,,,,,,,,,,,,,,
287,pneusbeaucerons.com,"Les Pneus Beaucerons is your tire specialist for all sizes. Whether it's for a car, light truck, tractor, trailer, construction equipment or any other wheeled vehicle, we can meet your needs. Our state-of-the-art equipment, combined with nearly 60 ye...","12 JUN, 2023 18:44 UTC",18736,Published,Canada,Consumer Services,,,,,,,,,,,,,,,,,
288,gruppomercurio.com,Leading vehicle transport company by over 50 years. HO based in Italy and present with direct subsidiaries or JV in all European Countries (EU),"09 JUN, 2023 16:25 UTC",21887,Published,Italia,Truck Transportation,,,,,,,,,,,,,,,,,
289,wsisd.net,White Settlement Independent School District,"09 JUN, 2023 16:23 UTC",20014,Published,,Primary and Secondary Education,,,,,,,,,,,,,,,,,
290,knipmeijerenblok.nl,"We can help you with a whole range of expertise such as various types of electrical installations, security solutions, various ICT applications and rapidly developing sustainability innovations. Of course we like to look with you from the start, but...","07 JUN, 2023 20:24 UTC",19779,Published,,,,,,,,,,,,,,,,,,,
291,irda.com.my,Iskandar Regional Development Authority,"07 JUN, 2023 17:26 UTC",20016,Published,Malaysia,Perhubungan Kerajaan,,,,,,,,,,,,,,,,,
292,aek.mk,"Our mission is to create favourable conditions for effective and sustainable competition in the electronic communications market to serve the interests of users, the economy and the communications industry, through effective, transparent, appropriate...","07 JUN, 2023 16:52 UTC",49941,Published,Ελλάς,Spectator Sports,,,,,,,,,,,,,,,,,
293,manfil.com.br,"Manfil Ferro e Aço started its activities in 2000 with the name of Coferpa Ferro e Aço and with 21 years in the market, it currently offers its customers a structure with 10,000 m² of built area, a scale from 25 mts to 100 tons, rebar frame service w...","07 JUN, 2023 11:49 UTC",18003,Published,Brasil,Retail,,,,,,,,,,,,,,,,,
294,mundocuervo.com,"Tequila is a Jalisco product that is part of our national identity. Synonymous with this is our prestigious and recognized Casa Tequilera Jose Cuervo, a company with more than 250 years of history and tradition, which has managed to cross borders, ex...","07 JUN, 2023 11:10 UTC",17864,Published,México,Entertainment Providers,,,,,,,,,,,,,,,,,
295,conseildelentente.org,"Created on 29 May 1959, the Council of the Entente is the oldest of West African sub-regional institutions. At the initiative of Felix Houphouët Boigny (Côte d'Ivoire), four Heads of State signed the Constitutive Act of the Council of the Entente.","07 JUN, 2023 11:06 UTC",17763,Published,France,Business Consulting and Services,,,,,,,,,,,,,,,,,
296,newhorizonsmedical.org,"The mission of New Horizons Medical is to provide patients with compassionate, comprehensive, and evidence-based treatments for substance use disorders and psychiatric diagnoses. Each and every patient is treated as an individual with distinctive req...","07 JUN, 2023 10:27 UTC",17613,Published,United States,Medical Practices,,,,,,,,,,,,,,,,,
297,realcomp.com,"Realcomp II Ltd. is proud to be Michigan’s largest Multiple Listing Service delivering cutting-edge, real-time MLS data services, support, & training to the real estate industry. Our Mission Statement: Driven by integrity, Realcomp delivers great...","07 JUN, 2023 04:05 UTC",17329,Published,United States,Real Estate,,,,,,,,,,,,,,,,,
298,screenline.co.za,is a leading manufacturer of screen advertising since 1971. Specializes in outdoor and indoor screens as well as digital advertising solutions,"06 JUN, 2023 20:33 UTC",18484,Published,ශ්‍රී ලංකාව இலங்கை,Retail Apparel and Fashion,,,,,,,,,,,,,,,,,
299,pittsburg.k12.ca.us,"Pittsburg Unified School District is a public school district based in Contra Costa County, California, United States. usd250.k12.ks.us\sql_admin:PeekABoo","06 JUN, 2023 20:31 UTC",17681,Published,United States,Government Administration,,,,,,,,,,,,,,,,,
300,pentechsolution.com.my,pentechsolution.com.my,"06 JUN, 2023 20:26 UTC",17317,Published,Malaysia,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
301,progen.com.br,Mais de 5.000 projetos realizados para os maiores players do mercado nacional e internacional em 35 anos,"06 JUN, 2023 20:19 UTC",14534,Published,Deutschland,Biotechnology,,,,,,,,,,,,,,,,,
